1999.01,137.85, 0.74,62852.21,27307.57,53332.15
1999.02,137.85, 0.74,62948.62,27565.89,53505.15
1999.03,137.85, 0.74,64925.23,27824.16,54860.33
1999.04,137.85, 0.74,67819.66,28086.06,56785.41
1999.05,137.85, 0.74,67890.62,28355.54,56951.02
1999.06,137.85, 0.74,67613.64,28630.09,56902.74
1999.07,137.85, 0.74,70806.53,28908.76,59015.95
1999.08,137.85, 0.74,68275.01,29190.52,57583.79
1999.09,137.85, 0.74,68005.34,29471.43,57540.67
1999.10,137.85, 0.74,67278.93,29757.33,57212.53
1999.11,137.85, 0.74,72192.94,30048.75,60432.69
1999.12,137.85, 0.74,74356.66,30347.74,61909.74
2000.01,141.30, 0.72,74409.77,30657.52,62094.40
2000.02,141.30, 0.72,72709.18,30962.55,61221.89
2000.03,141.30, 0.72,75713.31,31258.71,63184.51
2000.04,141.30, 0.72,76932.22,31561.98,64064.97
2000.05,141.30, 0.72,74891.70,31868.59,62992.05
2000.06,141.30, 0.72,77399.91,32169.94,64655.33
2000.07,141.30, 0.72,78198.29,32473.16,65282.95
2000.08,141.30, 0.72,79073.31,32769.49,65952.55
2000.09,141.30, 0.72,78361.24,33069.40,65670.75
2000.10,141.30, 0.72,74420.53,33369.45,63437.26
2000.11,141.30, 0.72,73987.42,33663.08,63307.10
2000.12,141.30, 0.72,71674.74,33947.78,62012.10
2001.01,144.83, 0.70,72144.99,34237.23,62433.26
2001.02,144.83, 0.70,70749.82,34521.98,61721.75
2001.03,144.83, 0.70,64477.48,34808.20,58023.61
2001.04,144.83, 0.70,64910.96,35107.81,58427.68
2001.05,144.83, 0.70,69516.25,35410.19,61461.63
2001.06,144.83, 0.70,68001.98,35714.48,60662.68
2001.07,144.83, 0.70,66339.94,36009.76,59755.88
2001.08,144.83, 0.70,65129.21,36299.83,59118.29
2001.09,144.83, 0.70,57958.11,36583.51,54682.45
2001.10,144.83, 0.70,59946.18,36857.72,56102.65
2001.11,144.83, 0.70,63116.75,37148.57,58296.37
2001.12,144.83, 0.70,64185.93,37449.08,59112.12
2002.01,148.45, 0.68,64143.61,37755.01,59220.65
2002.02,148.45, 0.68,62144.09,38056.80,58097.55
2002.03,148.45, 0.68,65362.31,38376.70,60281.27
2002.04,148.45, 0.68,63216.93,38687.90,59072.98
2002.05,148.45, 0.68,61585.22,38999.00,58169.74
2002.06,148.45, 0.68,58092.63,39303.74,56054.20
